None,E(keV),psi0rSi111,psi0iSi111,psihrSi111,psihiSi111,psihbrSi111,psihbiSi111
769,40.4,-5.9169e-07,5.4613e-10,3.1129e-07,3.813e-10,3.1129e-07,3.813e-10
770,40.45,-5.9023e-07,5.4341e-10,3.1052e-07,3.7939e-10,3.1052e-07,3.7939e-10
771,40.5,-5.8877e-07,5.407e-10,3.0975e-07,3.7751e-10,3.0975e-07,3.7751e-10
772,40.55,-5.8732e-07,5.3801e-10,3.0899e-07,3.7563e-10,3.0899e-07,3.7563e-10
773,40.6,-5.8587e-07,5.3534e-10,3.0822e-07,3.7376e-10,3.0822e-07,3.7376e-10
774,40.65,-5.8443e-07,5.3268e-10,3.0746e-07,3.7191e-10,3.0746e-07,3.7191e-10
775,40.7,-5.8299e-07,5.3004e-10,3.0671e-07,3.7007e-10,3.0671e-07,3.7007e-10
776,40.75,-5.8156e-07,5.2742e-10,3.0595e-07,3.6823e-10,3.0595e-07,3.6823e-10
777,40.8,-5.8013e-07,5.2481e-10,3.052e-07,3.6641e-10,3.052e-07,3.6641e-10
778,40.85,-5.7871e-07,5.2222e-10,3.0446e-07,3.6461e-10,3.0446e-07,3.6461e-10
779,40.9,-5.7729e-07,5.1964e-10,3.0371e-07,3.6281e-10,3.0371e-07,3.6281e-10
780,40.95,-5.7588e-07,5.1708e-10,3.0297e-07,3.6102e-10,3.0297e-07,3.6102e-10
781,41.0,-5.7448e-07,5.1454e-10,3.0223e-07,3.5924e-10,3.0223e-07,3.5924e-10
782,41.05,-5.7308e-07,5.1201e-10,3.0149e-07,3.5748e-10,3.0149e-07,3.5748e-10
783,41.1,-5.7168e-07,5.095e-10,3.0076e-07,3.5573e-10,3.0076e-07,3.5573e-10
784,41.15,-5.7029e-07,5.07e-10,3.0002e-07,3.5398e-10,3.0002e-07,3.5398e-10
785,41.2,-5.6891e-07,5.0452e-10,2.993e-07,3.5225e-10,2.993e-07,3.5225e-10
786,41.25,-5.6753e-07,5.0205e-10,2.9857e-07,3.5053e-10,2.9857e-07,3.5053e-10
787,41.3,-5.6615e-07,4.996e-10,2.9785e-07,3.4882e-10,2.9785e-07,3.4882e-10
788,41.35,-5.6478e-07,4.9717e-10,2.9712e-07,3.4712e-10,2.9712e-07,3.4712e-10
789,41.4,-5.6342e-07,4.9474e-10,2.9641e-07,3.4543e-10,2.9641e-07,3.4543e-10
790,41.45,-5.6206e-07,4.9234e-10,2.9569e-07,3.4375e-10,2.9569e-07,3.4375e-10
791,41.5,-5.607e-07,4.8995e-10,2.9498e-07,3.4207e-10,2.9498e-07,3.4207e-10
792,41.55,-5.5935e-07,4.8757e-10,2.9427e-07,3.4042e-10,2.9427e-07,3.4042e-10
793,41.6,-5.58e-07,4.852e-10,2.9356e-07,3.3877e-10,2.9356e-07,3.3877e-10
794,41.65,-5.5666e-07,4.8285e-10,2.9285e-07,3.3712e-10,2.9285e-07,3.3712e-10
795,41.7,-5.5533e-07,4.8052e-10,2.9215e-07,3.3549e-10,2.9215e-07,3.3549e-10
796,41.75,-5.54e-07,4.782e-10,2.9145e-07,3.3387e-10,2.9145e-07,3.3387e-10
797,41.8,-5.5267e-07,4.7589e-10,2.9075e-07,3.3226e-10,2.9075e-07,3.3226e-10
798,41.85,-5.5135e-07,4.736e-10,2.9005e-07,3.3066e-10,2.9005e-07,3.3066e-10
799,41.9,-5.5003e-07,4.7132e-10,2.8936e-07,3.2907e-10,2.8936e-07,3.2907e-10
800,41.95,-5.4872e-07,4.6905e-10,2.8867e-07,3.2749e-10,2.8867e-07,3.2749e-10
801,42.0,-5.4741e-07,4.668e-10,2.8798e-07,3.2592e-10,2.8798e-07,3.2592e-10
802,42.05,-5.4611e-07,4.6456e-10,2.873e-07,3.2436e-10,2.873e-07,3.2436e-10
803,42.1,-5.4481e-07,4.6234e-10,2.8661e-07,3.228e-10,2.8661e-07,3.228e-10
804,42.15,-5.4352e-07,4.6013e-10,2.8593e-07,3.2126e-10,2.8593e-07,3.2126e-10
805,42.2,-5.4223e-07,4.5793e-10,2.8526e-07,3.1972e-10,2.8526e-07,3.1972e-10
806,42.25,-5.4094e-07,4.5574e-10,2.8458e-07,3.182e-10,2.8458e-07,3.182e-10
807,42.3,-5.3966e-07,4.5357e-10,2.8391e-07,3.1668e-10,2.8391e-07,3.1668e-10
808,42.35,-5.3839e-07,4.5141e-10,2.8323e-07,3.1517e-10,2.8323e-07,3.1517e-10
809,42.4,-5.3712e-07,4.4926e-10,2.8257e-07,3.1367e-10,2.8257e-07,3.1367e-10
810,42.45,-5.3585e-07,4.4713e-10,2.819e-07,3.1218e-10,2.819e-07,3.1218e-10
811,42.5,-5.3459e-07,4.4501e-10,2.8124e-07,3.107e-10,2.8124e-07,3.107e-10
812,42.55,-5.3333e-07,4.429e-10,2.8057e-07,3.0923e-10,2.8057e-07,3.0923e-10
813,42.6,-5.3208e-07,4.408e-10,2.7991e-07,3.0777e-10,2.7991e-07,3.0777e-10
814,42.65,-5.3083e-07,4.3872e-10,2.7926e-07,3.0631e-10,2.7926e-07,3.0631e-10
815,42.7,-5.2959e-07,4.3665e-10,2.786e-07,3.0487e-10,2.786e-07,3.0487e-10
816,42.75,-5.2835e-07,4.3459e-10,2.7795e-07,3.0343e-10,2.7795e-07,3.0343e-10
817,42.8,-5.2711e-07,4.3254e-10,2.773e-07,3.02e-10,2.773e-07,3.02e-10
818,42.85,-5.2588e-07,4.3051e-10,2.7665e-07,3.0058e-10,2.7665e-07,3.0058e-10
819,42.9,-5.2466e-07,4.2848e-10,2.7601e-07,2.9917e-10,2.7601e-07,2.9917e-10
820,42.95,-5.2343e-07,4.2647e-10,2.7536e-07,2.9776e-10,2.7536e-07,2.9776e-10
821,43.0,-5.2222e-07,4.2447e-10,2.7472e-07,2.9637e-10,2.7472e-07,2.9637e-10
822,43.05,-5.21e-07,4.2248e-10,2.7408e-07,2.9498e-10,2.7408e-07,2.9498e-10
823,43.1,-5.1979e-07,4.2051e-10,2.7345e-07,2.936e-10,2.7345e-07,2.936e-10
824,43.15,-5.1859e-07,4.1854e-10,2.7281e-07,2.9223e-10,2.7281e-07,2.9223e-10
825,43.2,-5.1739e-07,4.1659e-10,2.7218e-07,2.9086e-10,2.7218e-07,2.9086e-10
826,43.25,-5.1619e-07,4.1465e-10,2.7155e-07,2.8951e-10,2.7155e-07,2.8951e-10
827,43.3,-5.15e-07,4.1272e-10,2.7092e-07,2.8816e-10,2.7092e-07,2.8816e-10
828,43.35,-5.1381e-07,4.108e-10,2.703e-07,2.8682e-10,2.703e-07,2.8682e-10
829,43.4,-5.1262e-07,4.0889e-10,2.6967e-07,2.8549e-10,2.6967e-07,2.8549e-10
830,43.45,-5.1144e-07,4.0699e-10,2.6905e-07,2.8416e-10,2.6905e-07,2.8416e-10
831,43.5,-5.1026e-07,4.0511e-10,2.6843e-07,2.8285e-10,2.6843e-07,2.8285e-10
832,43.55,-5.0909e-07,4.0323e-10,2.6782e-07,2.8154e-10,2.6782e-07,2.8154e-10
833,43.6,-5.0792e-07,4.0137e-10,2.672e-07,2.8024e-10,2.672e-07,2.8024e-10
834,43.65,-5.0676e-07,3.9951e-10,2.6659e-07,2.7894e-10,2.6659e-07,2.7894e-10
835,43.7,-5.056e-07,3.9767e-10,2.6598e-07,2.7766e-10,2.6598e-07,2.7766e-10
836,43.75,-5.0444e-07,3.9584e-10,2.6537e-07,2.7638e-10,2.6537e-07,2.7638e-10
837,43.8,-5.0329e-07,3.9402e-10,2.6476e-07,2.7511e-10,2.6476e-07,2.7511e-10
838,43.85,-5.0214e-07,3.922e-10,2.6416e-07,2.7384e-10,2.6416e-07,2.7384e-10
839,43.9,-5.01e-07,3.904e-10,2.6355e-07,2.7258e-10,2.6355e-07,2.7258e-10
840,43.95,-4.9986e-07,3.8861e-10,2.6295e-07,2.7133e-10,2.6295e-07,2.7133e-10
841,44.0,-4.9872e-07,3.8683e-10,2.6236e-07,2.7009e-10,2.6236e-07,2.7009e-10
842,44.05,-4.9759e-07,3.8506e-10,2.6176e-07,2.6886e-10,2.6176e-07,2.6886e-10
843,44.1,-4.9646e-07,3.833e-10,2.6117e-07,2.6763e-10,2.6117e-07,2.6763e-10
844,44.15,-4.9533e-07,3.8155e-10,2.6057e-07,2.664e-10,2.6057e-07,2.664e-10
845,44.2,-4.9421e-07,3.7981e-10,2.5998e-07,2.6519e-10,2.5998e-07,2.6519e-10
846,44.25,-4.9309e-07,3.7808e-10,2.594e-07,2.6398e-10,2.594e-07,2.6398e-10
847,44.3,-4.9198e-07,3.7636e-10,2.5881e-07,2.6278e-10,2.5881e-07,2.6278e-10
848,44.35,-4.9087e-07,3.7465e-10,2.5823e-07,2.6159e-10,2.5823e-07,2.6159e-10
849,44.4,-4.8976e-07,3.7295e-10,2.5764e-07,2.604e-10,2.5764e-07,2.604e-10
850,44.45,-4.8866e-07,3.7126e-10,2.5706e-07,2.5922e-10,2.5706e-07,2.5922e-10
851,44.5,-4.8756e-07,3.6958e-10,2.5648e-07,2.5805e-10,2.5648e-07,2.5805e-10
852,44.55,-4.8647e-07,3.6791e-10,2.5591e-07,2.5688e-10,2.5591e-07,2.5688e-10
853,44.6,-4.8538e-07,3.6624e-10,2.5533e-07,2.5572e-10,2.5533e-07,2.5572e-10
854,44.65,-4.8429e-07,3.6459e-10,2.5476e-07,2.5456e-10,2.5476e-07,2.5456e-10
855,44.7,-4.832e-07,3.6295e-10,2.5419e-07,2.5342e-10,2.5419e-07,2.5342e-10
856,44.75,-4.8212e-07,3.6131e-10,2.5362e-07,2.5227e-10,2.5362e-07,2.5227e-10
857,44.8,-4.8105e-07,3.5969e-10,2.5306e-07,2.5114e-10,2.5306e-07,2.5114e-10
858,44.85,-4.7997e-07,3.5807e-10,2.5249e-07,2.5001e-10,2.5249e-07,2.5001e-10
859,44.9,-4.789e-07,3.5646e-10,2.5193e-07,2.4889e-10,2.5193e-07,2.4889e-10
860,44.95,-4.7784e-07,3.5486e-10,2.5137e-07,2.4777e-10,2.5137e-07,2.4777e-10
861,45.0,-4.7677e-07,3.5328e-10,2.5081e-07,2.4666e-10,2.5081e-07,2.4666e-10
862,45.05,-4.7572e-07,3.517e-10,2.5025e-07,2.4556e-10,2.5025e-07,2.4556e-10
863,45.1,-4.7466e-07,3.5012e-10,2.4969e-07,2.4446e-10,2.4969e-07,2.4446e-10
864,45.15,-4.7361e-07,3.4856e-10,2.4914e-07,2.4337e-10,2.4914e-07,2.4337e-10
865,45.2,-4.7256e-07,3.4701e-10,2.4859e-07,2.4229e-10,2.4859e-07,2.4229e-10
866,45.25,-4.7151e-07,3.4546e-10,2.4804e-07,2.4121e-10,2.4804e-07,2.4121e-10
867,45.3,-4.7047e-07,3.4392e-10,2.4749e-07,2.4014e-10,2.4749e-07,2.4014e-10
868,45.35,-4.6943e-07,3.424e-10,2.4695e-07,2.3907e-10,2.4695e-07,2.3907e-10
869,45.4,-4.684e-07,3.4088e-10,2.464e-07,2.3801e-10,2.464e-07,2.3801e-10
870,45.45,-4.6737e-07,3.3937e-10,2.4586e-07,2.3695e-10,2.4586e-07,2.3695e-10
871,45.5,-4.6634e-07,3.3786e-10,2.4532e-07,2.359e-10,2.4532e-07,2.359e-10
872,45.55,-4.6532e-07,3.3637e-10,2.4478e-07,2.3486e-10,2.4478e-07,2.3486e-10
873,45.6,-4.643e-07,3.3488e-10,2.4424e-07,2.3382e-10,2.4424e-07,2.3382e-10
874,45.65,-4.6328e-07,3.334e-10,2.4371e-07,2.3279e-10,2.4371e-07,2.3279e-10
875,45.7,-4.6226e-07,3.3193e-10,2.4317e-07,2.3176e-10,2.4317e-07,2.3176e-10
876,45.75,-4.6125e-07,3.3047e-10,2.4264e-07,2.3074e-10,2.4264e-07,2.3074e-10
877,45.8,-4.6024e-07,3.2902e-10,2.4211e-07,2.2973e-10,2.4211e-07,2.2973e-10
878,45.85,-4.5924e-07,3.2757e-10,2.4158e-07,2.2872e-10,2.4158e-07,2.2872e-10
879,45.9,-4.5824e-07,3.2613e-10,2.4105e-07,2.2772e-10,2.4105e-07,2.2772e-10
880,45.95,-4.5724e-07,3.247e-10,2.4053e-07,2.2672e-10,2.4053e-07,2.2672e-10
881,46.0,-4.5625e-07,3.2328e-10,2.4e-07,2.2572e-10,2.4e-07,2.2572e-10
882,46.05,-4.5526e-07,3.2187e-10,2.3948e-07,2.2474e-10,2.3948e-07,2.2474e-10
883,46.1,-4.5427e-07,3.2046e-10,2.3896e-07,2.2375e-10,2.3896e-07,2.2375e-10
884,46.15,-4.5328e-07,3.1906e-10,2.3844e-07,2.2278e-10,2.3844e-07,2.2278e-10
885,46.2,-4.523e-07,3.1767e-10,2.3793e-07,2.2181e-10,2.3793e-07,2.2181e-10
886,46.25,-4.5132e-07,3.1629e-10,2.3741e-07,2.2084e-10,2.3741e-07,2.2084e-10
887,46.3,-4.5035e-07,3.1491e-10,2.369e-07,2.1988e-10,2.369e-07,2.1988e-10
888,46.35,-4.4937e-07,3.1354e-10,2.3639e-07,2.1892e-10,2.3639e-07,2.1892e-10
889,46.4,-4.4841e-07,3.1218e-10,2.3588e-07,2.1797e-10,2.3588e-07,2.1797e-10
890,46.45,-4.4744e-07,3.1083e-10,2.3537e-07,2.1703e-10,2.3537e-07,2.1703e-10
891,46.5,-4.4648e-07,3.0948e-10,2.3486e-07,2.1609e-10,2.3486e-07,2.1609e-10
892,46.55,-4.4552e-07,3.0814e-10,2.3436e-07,2.1515e-10,2.3436e-07,2.1515e-10
893,46.6,-4.4456e-07,3.0681e-10,2.3386e-07,2.1422e-10,2.3386e-07,2.1422e-10
894,46.65,-4.4361e-07,3.0548e-10,2.3335e-07,2.133e-10,2.3335e-07,2.133e-10
895,46.7,-4.4266e-07,3.0417e-10,2.3285e-07,2.1238e-10,2.3285e-07,2.1238e-10
896,46.75,-4.4171e-07,3.0285e-10,2.3235e-07,2.1146e-10,2.3235e-07,2.1146e-10
897,46.8,-4.4076e-07,3.0155e-10,2.3186e-07,2.1055e-10,2.3186e-07,2.1055e-10
898,46.85,-4.3982e-07,3.0025e-10,2.3136e-07,2.0965e-10,2.3136e-07,2.0965e-10
899,46.9,-4.3888e-07,2.9897e-10,2.3087e-07,2.0875e-10,2.3087e-07,2.0875e-10
900,46.95,-4.3795e-07,2.9768e-10,2.3038e-07,2.0785e-10,2.3038e-07,2.0785e-10
901,47.0,-4.3702e-07,2.9641e-10,2.2989e-07,2.0696e-10,2.2989e-07,2.0696e-10
902,47.05,-4.3609e-07,2.9514e-10,2.294e-07,2.0608e-10,2.294e-07,2.0608e-10
903,47.1,-4.3516e-07,2.9388e-10,2.2891e-07,2.0519e-10,2.2891e-07,2.0519e-10
904,47.15,-4.3424e-07,2.9262e-10,2.2842e-07,2.0432e-10,2.2842e-07,2.0432e-10
905,47.2,-4.3332e-07,2.9137e-10,2.2794e-07,2.0345e-10,2.2794e-07,2.0345e-10
906,47.25,-4.324e-07,2.9013e-10,2.2746e-07,2.0258e-10,2.2746e-07,2.0258e-10
907,47.3,-4.3149e-07,2.8889e-10,2.2697e-07,2.0172e-10,2.2697e-07,2.0172e-10
908,47.35,-4.3057e-07,2.8767e-10,2.2649e-07,2.0086e-10,2.2649e-07,2.0086e-10
909,47.4,-4.2966e-07,2.8644e-10,2.2602e-07,2.0001e-10,2.2602e-07,2.0001e-10
910,47.45,-4.2876e-07,2.8523e-10,2.2554e-07,1.9916e-10,2.2554e-07,1.9916e-10
911,47.5,-4.2786e-07,2.8402e-10,2.2506e-07,1.9831e-10,2.2506e-07,1.9831e-10
912,47.55,-4.2695e-07,2.8281e-10,2.2459e-07,1.9747e-10,2.2459e-07,1.9747e-10
913,47.6,-4.2606e-07,2.8162e-10,2.2412e-07,1.9664e-10,2.2412e-07,1.9664e-10
914,47.65,-4.2516e-07,2.8043e-10,2.2365e-07,1.9581e-10,2.2365e-07,1.9581e-10
915,47.7,-4.2427e-07,2.7924e-10,2.2318e-07,1.9498e-10,2.2318e-07,1.9498e-10
916,47.75,-4.2338e-07,2.7807e-10,2.2271e-07,1.9416e-10,2.2271e-07,1.9416e-10
917,47.8,-4.225e-07,2.7689e-10,2.2224e-07,1.9334e-10,2.2224e-07,1.9334e-10
918,47.85,-4.2161e-07,2.7573e-10,2.2178e-07,1.9253e-10,2.2178e-07,1.9253e-10
919,47.9,-4.2073e-07,2.7457e-10,2.2132e-07,1.9172e-10,2.2132e-07,1.9172e-10
920,47.95,-4.1985e-07,2.7342e-10,2.2085e-07,1.9091e-10,2.2085e-07,1.9091e-10
921,48.0,-4.1898e-07,2.7227e-10,2.2039e-07,1.9011e-10,2.2039e-07,1.9011e-10
922,48.05,-4.1811e-07,2.7113e-10,2.1993e-07,1.8931e-10,2.1993e-07,1.8931e-10
923,48.1,-4.1724e-07,2.6999e-10,2.1948e-07,1.8852e-10,2.1948e-07,1.8852e-10
924,48.15,-4.1637e-07,2.6886e-10,2.1902e-07,1.8773e-10,2.1902e-07,1.8773e-10
925,48.2,-4.155e-07,2.6774e-10,2.1857e-07,1.8695e-10,2.1857e-07,1.8695e-10
926,48.25,-4.1464e-07,2.6662e-10,2.1811e-07,1.8617e-10,2.1811e-07,1.8617e-10
927,48.3,-4.1378e-07,2.6551e-10,2.1766e-07,1.8539e-10,2.1766e-07,1.8539e-10
928,48.35,-4.1293e-07,2.6441e-10,2.1721e-07,1.8462e-10,2.1721e-07,1.8462e-10
929,48.4,-4.1207e-07,2.6331e-10,2.1676e-07,1.8385e-10,2.1676e-07,1.8385e-10
930,48.45,-4.1122e-07,2.6221e-10,2.1631e-07,1.8309e-10,2.1631e-07,1.8309e-10
931,48.5,-4.1037e-07,2.6112e-10,2.1587e-07,1.8233e-10,2.1587e-07,1.8233e-10
932,48.55,-4.0953e-07,2.6004e-10,2.1542e-07,1.8157e-10,2.1542e-07,1.8157e-10
933,48.6,-4.0869e-07,2.5896e-10,2.1498e-07,1.8082e-10,2.1498e-07,1.8082e-10
934,48.65,-4.0785e-07,2.5789e-10,2.1454e-07,1.8007e-10,2.1454e-07,1.8007e-10
935,48.7,-4.0701e-07,2.5683e-10,2.1409e-07,1.7933e-10,2.1409e-07,1.7933e-10
936,48.75,-4.0617e-07,2.5577e-10,2.1365e-07,1.7859e-10,2.1365e-07,1.7859e-10
937,48.8,-4.0534e-07,2.5471e-10,2.1322e-07,1.7785e-10,2.1322e-07,1.7785e-10
938,48.85,-4.0451e-07,2.5366e-10,2.1278e-07,1.7712e-10,2.1278e-07,1.7712e-10
939,48.9,-4.0368e-07,2.5262e-10,2.1234e-07,1.7639e-10,2.1234e-07,1.7639e-10
940,48.95,-4.0286e-07,2.5158e-10,2.1191e-07,1.7566e-10,2.1191e-07,1.7566e-10
941,49.0,-4.0203e-07,2.5054e-10,2.1148e-07,1.7494e-10,2.1148e-07,1.7494e-10
942,49.05,-4.0121e-07,2.4952e-10,2.1105e-07,1.7422e-10,2.1105e-07,1.7422e-10
943,49.1,-4.004e-07,2.4849e-10,2.1062e-07,1.7351e-10,2.1062e-07,1.7351e-10
944,49.15,-3.9958e-07,2.4747e-10,2.1019e-07,1.728e-10,2.1019e-07,1.728e-10
945,49.2,-3.9877e-07,2.4646e-10,2.0976e-07,1.7209e-10,2.0976e-07,1.7209e-10
946,49.25,-3.9796e-07,2.4545e-10,2.0933e-07,1.7139e-10,2.0933e-07,1.7139e-10
947,49.3,-3.9715e-07,2.4445e-10,2.0891e-07,1.7069e-10,2.0891e-07,1.7069e-10
948,49.35,-3.9635e-07,2.4346e-10,2.0848e-07,1.6999e-10,2.0848e-07,1.6999e-10
949,49.4,-3.9554e-07,2.4246e-10,2.0806e-07,1.693e-10,2.0806e-07,1.693e-10
950,49.45,-3.9474e-07,2.4148e-10,2.0764e-07,1.6861e-10,2.0764e-07,1.6861e-10
951,49.5,-3.9394e-07,2.4049e-10,2.0722e-07,1.6793e-10,2.0722e-07,1.6793e-10
952,49.55,-3.9315e-07,2.3952e-10,2.068e-07,1.6724e-10,2.068e-07,1.6724e-10
953,49.6,-3.9236e-07,2.3855e-10,2.0638e-07,1.6656e-10,2.0638e-07,1.6656e-10
954,49.65,-3.9157e-07,2.3758e-10,2.0597e-07,1.6589e-10,2.0597e-07,1.6589e-10
955,49.7,-3.9078e-07,2.3662e-10,2.0555e-07,1.6522e-10,2.0555e-07,1.6522e-10
956,49.75,-3.8999e-07,2.3566e-10,2.0514e-07,1.6455e-10,2.0514e-07,1.6455e-10
957,49.8,-3.8921e-07,2.3471e-10,2.0473e-07,1.6388e-10,2.0473e-07,1.6388e-10
958,49.85,-3.8843e-07,2.3376e-10,2.0432e-07,1.6322e-10,2.0432e-07,1.6322e-10
959,49.9,-3.8765e-07,2.3282e-10,2.0391e-07,1.6256e-10,2.0391e-07,1.6256e-10
960,49.95,-3.8687e-07,2.3188e-10,2.035e-07,1.6191e-10,2.035e-07,1.6191e-10
